原文件名,新文件名,原文件路径,新文件路径
反应堆紧急关机失败.ogg,f_s_138565.ogg,L:\FAAS\a2\反应堆紧急关机失败.ogg,L:\FAAS\a3\f_s_138565.ogg
注意 避难所防爆门将在倒计时-30秒后关闭.ogg,f_s_148446.ogg,L:\FAAS\a2\注意 避难所防爆门将在倒计时-30秒后关闭.ogg,L:\FAAS\a3\f_s_148446.ogg
DMR不稳定总电源波动.ogg,f_s_167743.ogg,L:\FAAS\a2\DMR不稳定总电源波动.ogg,L:\FAAS\a3\f_s_167743.ogg
请继续疏散设施内人员.ogg,f_s_175682.ogg,L:\FAAS\a2\请继续疏散设施内人员.ogg,L:\FAAS\a3\f_s_175682.ogg
最后广播.ogg,f_s_194506.ogg,L:\FAAS\a2\最后广播.ogg,L:\FAAS\a3\f_s_194506.ogg
压力系统监测失效.ogg,f_s_228127.ogg,L:\FAAS\a2\压力系统监测失效.ogg,L:\FAAS\a3\f_s_228127.ogg
注意 反应堆操作人员 请立即报告当前状态.ogg,f_s_259206.ogg,L:\FAAS\a2\注意 反应堆操作人员 请立即报告当前状态.ogg,L:\FAAS\a3\f_s_259206.ogg
危险 辐射水平已超过反应堆腔室最高安全水平.ogg,f_s_275473.ogg,L:\FAAS\a2\危险 辐射水平已超过反应堆腔室最高安全水平.ogg,L:\FAAS\a3\f_s_275473.ogg
预测反应堆爆炸时间.ogg,f_s_286753.ogg,L:\FAAS\a2\预测反应堆爆炸时间.ogg,L:\FAAS\a3\f_s_286753.ogg
注意 避难所防爆门将在倒计时-10秒后关闭.ogg,f_s_293662.ogg,L:\FAAS\a2\注意 避难所防爆门将在倒计时-10秒后关闭.ogg,L:\FAAS\a3\f_s_293662.ogg
反应堆操作洞穴.ogg,f_s_326982.ogg,L:\FAAS\a2\反应堆操作洞穴.ogg,L:\FAAS\a3\f_s_326982.ogg
温度已超过燃烧停机程序的最高限值.ogg,f_s_340380.ogg,L:\FAAS\a2\温度已超过燃烧停机程序的最高限值.ogg,L:\FAAS\a3\f_s_340380.ogg
注意 在_检测到高剂量辐射.ogg,f_s_435429.ogg,L:\FAAS\a2\注意 在_检测到高剂量辐射.ogg,L:\FAAS\a3\f_s_435429.ogg
检测到设施自动化管理系统错误.ogg,f_s_476694.ogg,L:\FAAS\a2\检测到设施自动化管理系统错误.ogg,L:\FAAS\a3\f_s_476694.ogg
注意 反应堆操作人员已发出求求救信号.ogg,f_s_502887.ogg,L:\FAAS\a2\注意 反应堆操作人员已发出求求救信号.ogg,L:\FAAS\a3\f_s_502887.ogg
设施人员注意 请立即前往最近的防爆避难所.ogg,f_s_535533.ogg,L:\FAAS\a2\设施人员注意 请立即前往最近的防爆避难所.ogg,L:\FAAS\a3\f_s_535533.ogg
DMR不稳定总电源中断.ogg,f_s_663257.ogg,L:\FAAS\a2\DMR不稳定总电源中断.ogg,L:\FAAS\a3\f_s_663257.ogg
注意 涡轮机出现故障.ogg,f_s_678963.ogg,L:\FAAS\a2\注意 涡轮机出现故障.ogg,L:\FAAS\a3\f_s_678963.ogg
紧急反应堆关机激活.ogg,f_s_729263.ogg,L:\FAAS\a2\紧急反应堆关机激活.ogg,L:\FAAS\a3\f_s_729263.ogg
注意 设施出现紧急情况 请不要使用[数据删除].ogg,f_s_749446.ogg,L:\FAAS\a2\注意 设施出现紧急情况 请不要使用[数据删除].ogg,L:\FAAS\a3\f_s_749446.ogg
未知强引力在核心室.ogg,f_s_785144.ogg,L:\FAAS\a2\未知强引力在核心室.ogg,L:\FAAS\a3\f_s_785144.ogg
暗物质反应堆操作小组注意 请立即撤离该设施.ogg,f_s_861403.ogg,L:\FAAS\a2\暗物质反应堆操作小组注意 请立即撤离该设施.ogg,L:\FAAS\a3\f_s_861403.ogg
设施维护人员注意 请立即报告当前情况.ogg,f_s_916731.ogg,L:\FAAS\a2\设施维护人员注意 请立即报告当前情况.ogg,L:\FAAS\a3\f_s_916731.ogg
通信网络出现故障 正在尝试与东海岸通信基站重新建立连接.ogg,f_s_955935.ogg,L:\FAAS\a2\通信网络出现故障 正在尝试与东海岸通信基站重新建立连接.ogg,L:\FAAS\a3\f_s_955935.ogg
